category;header;description
Oferta de trabajo;\href{https://github.com/nmontesoro/caapplication}{caapplication};Para la tarea de prueba de \href{https://codingallstars.com/}{Coding Allstars}, descargué el contenido de una página web y escribí un script en Python para traducir el texto a hindi. Luego de asegurar un correcto funcionamiento de Javascript, CSS, etc. subí los archivos a un servidor web. El resultado se encuentra en \href{https://nmontesoro.github.io/caapplication/}{https://nmontesoro.github.io/caapplication/}.
Proyecto personal;\href{https://github.com/nmontesoro/BoletinOficialUNMDP}{BoletinOficialUNMDP} y \href{https://github.com/nmontesoro/SIBOM}{SIBOM};Escritos en Python, estos bots leen y resumen los boletines oficiales de la Universidad Nacional de Mar del Plata y la Municipalidad de General Pueyrredón, twitteando los resúmenes mediante la API de Twitter. Se pueden encontrar como \href{https://twitter.com/BoletinUnmdp}{@BoletinUnmdp} y \href{https://twitter.com/BoletinMGP}{@BoletinMGP}.
Proyecto personal;\href{https://github.com/nmontesoro/curriculum-vitae}{curriculum-vitae};Todo el código \LaTeX~necesario para generar este documento. El proyecto apunta a separar dato de formato para conseguir ediciones eficientes y publicaciones multilenguaje. Los cambios en los datos, como número de teléfono, se ven reflejados automáticamente en el código QR de la página anterior. El proyecto es \emph{open-source} y está disponible para cualquiera que quiera hacer uso de él.
Aplicación de negocio;\href{https://github.com/nmontesoro/Tarjetas_v4}{Tarjetas\_v4};Mi primer proyecto en Python para Mejor Carne Argentina automatizó un proceso manual de varias semanas de duración que consistía en cruzar la información de nuestro proveedor de pagos electrónicos y nuestras cuentas bancarias. Tomaba varios archivos PDF, extraía la información relevante y la presentaba ordenadamente en una planilla de Excel. Si bien estoy orgulloso del impacto que tuvo en la empresa, tomaría mejores decisiones en cuanto a performance, documentación y nombres de variables si tuviera que reescribir este programa hoy en día.
Proyectos universiarios;\href{https://github.com/nmontesoro/MetodosNumericos}{MetodosNumericos}, \href{https://github.com/nmontesoro/AyED}{AyED} y \href{https://github.com/nmontesoro/OOP-UNMDP}{OOP-UNMDP};Estos repositorios contienen el código que escribí para mis clases en la Universidad Nacional de Mar del Plata, incluyendo Métodos Numéricos (MATLAB), Algoritmos y Estructuras de Datos (C), y Programación Orientada a Objetos (C++/Java).
