shortdesc;institution;dates;description
Programador junior y soporte IT;Mejor Carne Argentina S.A. (ARG);2017-08/2019-10;Desarrollo y mantenimiento de programas administrativos para Raffe y Carnicerías Mar del Plata. Creación de software de control de liquidaciones de tarjetas de crédito y débito, y programas para liquidación y presentación de libros de sueldos a AFIP de más de 300 empleados. Soporte técnico en oficina de más de quince personas.
Barista;Murdock’s Café (parte de Vail Resorts, Inc.) y Purple Sage (USA);2019-12/2020-03, 2021-12/2022-03;Atención al público, manejo de caja, limpieza, ayudante de cocina. Desarrollo de software de control de propinas por el cual fui reconocido dentro de la empresa mediante el programa \emph{EpicEmployee}. Parte de un programa de \emph{Work \& Travel}.
Participación en eventos;Hackathon MGP (ARG);2022-11-11/12;En un evento de 24 horas presentamos, junto a otros estudiantes de Ingeniería, un proyecto de automatización de plantineras para reducir la intervención humana en el control de humedad y temperatura. Más info en \href{http://bit.ly/3iFR98O}{http://bit.ly/3iFR98O}.
